YearMo;7169;7786;7766;7712;7660;7625;7558;7486;7445;7170;7169_weight_acc;7786_weight_acc;7766_weight_acc;7712_weight_acc;7660_weight_acc;7625_weight_acc;7558_weight_acc;7486_weight_acc;7445_weight_acc;7170_weight_acc
201310;0,570000000000;0,003652240000;0,004159080000;0,045427780000;0,044091450000;0,032253420000;0,074350610000;0,036454860000;0,080828720000;0,251904010000;1,104760554102;1,000527730548;1,006815449217;1,016496508864;1,013141807983;1,002937673227;1,006115847920;1,002888467061;1,012835067614;1,039259199346
201311;0,540000000000;0,018171600000;0,003679280000;0,091775430000;0,046267270000;0,068023080000;0,056241950000;0,017144840000;0,099580110000;0,137584720000;1,110726261094;1,000709542445;1,006852492777;1,017429402906;1,013610561039;1,003619902323;1,006681707092;1,003060410684;1,013843649889;1,040689061206
201312;0,920000000000;0,033571580000;0,002289050000;0,105838000000;0,046207000000;0,348958100000;0,053098400000;0,040094500000;0,075157680000;0,218701480000;1,120944942696;1,001045496450;1,006875540134;1,018506229838;1,014078920071;1,007122115265;1,007216238971;1,003462582740;1,014605631255;1,042965063585
201401;0,550000000000;0,001360470000;0,025669380000;0,181707680000;0,053936640000;-0,005703510000;-0,009981750000;0,022185240000;0,079245100000;0,206292240000;1,127110139881;1,001059115373;1,007133998842;1,020356933878;1,014625880167;1,007064673955;1,007115701164;1,003685203323;1,015409656502;1,045116619577
201402;0,690000000000;0,006315820000;0,268906710000;0,073739610000;0,083090900000;-0,009450350000;-0,026428800000;0,048411080000;0,110938520000;0,137922400000;1,134887199846;1,001122340465;1,009842249744;1,021109341102;1,015468941943;1,006969502818;1,006849532570;1,004171098169;1,016536136947;1,046558069502
201403;0,920000000000;-0,056523600000;0,025118820000;0,084407550000;0,048300180000;0,258876960000;0,020265940000;0,017261500000;0,047578080000;0,472333440000;1,145328162084;1,000556470078;1,010095910201;1,021971234480;1,015959415270;1,009576314855;1,007053580092;1,004344433164;1,017019785323;1,051501313233
201404;0,670000000000;0,000877700000;0,001416330000;0,033077000000;0,112905880000;0,060295360000;0,030549060000;0,009038200000;0,124691010000;0,295693580000;1,153001860770;1,000565251962;1,010110216492;1,022309271905;1,017106493188;1,010185042529;1,007361225495;1,004435207822;1,018287917565;1,054610535110
201405;0,460000000000;0,004796770000;0,006099600000;0,085065600000;0,109928560000;-0,084497850000;0,054478200000;0,046323220000;0,087603320000;0,144859060000;1,158305669330;1,000613246776;1,010171829175;1,023178905421;1,018224583710;1,009331457887;1,007910017758;1,004900494553;1,019179971588;1,056138234017
201406;0,400000000000;-0,000869240000;0,000935480000;0,167526850000;0,067656000000;0,068868840000;0,031891160000;0,017183980000;0,079109800000;-0,027502860000;1,162938892007;1,000604549045;1,010181279131;1,024893004811;1,018913473734;1,010026572754;1,008231451954;1,005073176453;1,019986242826;1,055847765798
201407;0,010000000000;-0,034188830000;0,001863840000;0,012953760000;0,056490500000;-0,182343700000;-0,015633360000;0,038878880000;0,172858800000;-0,037310550000;1,163055185896;1,000262454057;1,010200107293;1,025025766991;1,019489063050;1,008184852930;1,008073831502;1,005463937647;1,021749378805;1,055453823189
201408;0,250000000000;0,004293100000;0,020042300000;0,009724320000;0,046546070000;0,060785670000;-0,009746700000;0,021430120000;0,137011580000;-0,037253100000;1,165962823861;1,000305396325;1,010402574629;1,025125443777;1,019963595143;1,008797684848;1,007975577570;1,005679409776;1,023149293773;1,055060633921
201409;0,570000000000;0,005572060000;0,008404200000;0,042075930000;0,037522980000;0,116148060000;0,036885840000;0,015534940000;0,113002890000;0,192918180000;1,172608811957;1,000361133941;1,010487490883;1,025556774841;1,020346315879;1,009969383788;1,008347377828;1,005835641469;1,024305482044;1,057096037694
201410;0,420000000000;-0,002133800000;0,005116100000;0,038772360000;0,044241600000;0,071941350000;0,040120200000;0,008661910000;0,099999440000;0,114011000000;1,177533768967;1,000339788236;1,010539188433;1,025954407406;1,020797733414;1,010695969397;1,008751928813;1,005922766047;1,025329781789;1,058301243457
201411;0,510000000000;0,003397760000;0,009736230000;0,051662400000;0,047628000000;0,079294150000;0,025289940000;-0,001819520000;0,101726010000;0,190934590000;1,183539191189;1,000373777381;1,010637576853;1,026484440076;1,021283918959;1,011497392175;1,009007041571;1,005904463081;1,026372808866;1,060321906597
