year;month;ipca;ipca_a;ipca12_a;cpi;juros;dolar;minimo;ibov;onibus;fipezap;stf;bigmac;passagem;plano;gasolina;gas;aluguelsp;gold;energia;cesta;juros_a;dolar_a;minimo_a;ibov_a;onibus_a;fipezap_a;stf_a;bigmac_a;passagem_a;plano_a;gasolina_a;gas_a;aluguelsp_a;gold_a;energia_a;cesta_a
2009;3;2928,57;0,20;5,61;212,495;0,97;2,31;465;40926;2,3;74,94;24500;7,5;598,8126435;352;2,51;33,710;87,34;2153,13;286,9559988;221,9;0,77;3,81;1164,18;102462,50;5,76;187,62;61338,30;18,78;1499,19;881,27;6,28;84,40;218,66;5390,59;718,42;555,55
2009;4;2942,63;0,48;5,53;212,709;0,84;2,21;465;47290;2,3;76,31;24500;7,5;578,0430838;353,69;2,5;34,416;88,21;1958,01;287,1083719;225,63;0,36;3,64;1158,61;117829,74;5,73;190,14;61045,22;18,69;1440,28;881,27;6,23;85,75;219,79;4878,66;715,37;562,19
2009;5;2956,46;0,47;5,20;213,022;0,77;2,06;465;53198;2,3;77,71;24500;7,5;528,8788501;355,5;2,49;34,754;88,57;1924,76;292,2484082;227,36;0,30;3,38;1153,19;131930,31;5,70;192,72;60759,66;18,60;1311,61;881,64;6,18;86,19;219,65;4773,38;724,77;563,85
2009;6;2967,1;0,36;4,80;214,79;0,76;1,96;465;51465;2,3;79,38;24500;7,5;475,4638306;357,38;2,49;35,353;89,44;1851,41;290,9288953;228,1;0,40;3,23;1149,06;127174,80;5,68;196,16;60541,78;18,53;1174,92;883,12;6,15;87,36;221,01;4575,01;718,91;563,66
2009;7;2974,22;0,24;4,50;214,726;0,79;1,93;465;54766;2,3;80,94;24500;7,5;566,9654724;359,31;2,49;35,798;89,32;1808,81;296,8520017;227,17;0,55;3,17;1146,31;135007,91;5,67;199,53;60396,85;18,49;1397,67;885,76;6,14;88,25;220,19;4459,04;731,79;560,01
2009;8;2978,68;0,15;4,36;215,445;0,69;1,85;465;56489;2,3;82,46;24500;8,03;562,1293449;361,29;2,5;36,043;89,2;1750,40;297,504781;225,69;0,54;3,05;1144,59;139046,90;5,66;202,97;60306,41;19,77;1383,67;889,31;6,15;88,72;219,56;4308,59;732,30;555,53
2009;9;2985,83;0,24;4,34;215,861;0,69;1,82;465;61518;2,3;83,58;25725;8,03;475,7526489;363,31;2,49;37,610;88,8;1815,16;298,4481696;229,89;0,45;2,99;1141,85;151063,10;5,65;205,24;63170,10;19,72;1168,25;892,14;6,11;92,35;218,06;4457,29;732,87;564,52
2009;10;2994,19;0,28;4,17;216,509;0,69;1,74;465;61546;2,3;84,64;25725;8,03;554,7360348;365,34;2,53;38,024;89,11;1812,36;298,8997258;230,03;0,41;2,86;1138,66;150709,89;5,63;207,26;62993,73;19,66;1358,40;894,62;6,20;93,11;218,21;4437,99;731,93;563,28
2009;11;3006,47;0,41;4,22;217,234;0,66;1,73;465;67044;2,3;85,97;25725;8,03;563,5205039;367,28;2,55;37,961;89,14;1943,22;298,6918709;234,99;0,25;2,85;1134,01;163502,47;5,61;209,66;62736,43;19,58;1374,28;895,70;6,22;92,58;217,39;4739,00;728,43;573,08
2009;12;3017,59;0,37;4,31;217,347;0,73;1,75;465;68588;2,3;87,55;25725;8,03;529,9704412;369,23;2,56;38,020;89,31;1982,13;299,0730175;228,19;0,36;2,87;1129,83;166651,48;5,59;212,72;62505,24;19,51;1287,69;897,14;6,22;92,38;217,00;4816,07;726,67;554,44
2010;1;3040,22;0,74;4,59;217,488;0,66;1,78;510;65402;2,3;89,03;25725;8,03;529,5383569;371,18;2,59;38,120;89,29;1981,23;301,5130124;225,02;-0,08;2,90;1229,95;157727,45;5,55;214,71;62039,98;19,37;1277,07;895,16;6,25;91,93;215,34;4778,06;727,15;542,67
2010;2;3063,93;0,77;4,83;217,281;0,59;1,84;510;66503;2,3;90,42;26723;8,2;440,547498;373,15;2,61;38,145;90,36;2022,74;298,0663388;229,64;-0,18;2,97;1220,43;159141,58;5,50;216,37;63948,10;19,62;1054,23;892,95;6,25;91,28;216,23;4840,41;713,27;549,53
2010;3;3079,86;0,52;5,17;217,353;0,76;1,79;510;70372;2,3;91,88;26723;8,2;475,800197;375,13;2,58;38,370;92,51;1988,81;302,6187867;253,74;0,24;2,88;1214,12;167529,07;5,48;218,73;63617,34;19,52;1132,70;893,04;6,14;91,34;220,23;4734,60;720,42;604,06
2010;4;3097,42;0,57;5,26;217,403;0,67;1,76;510;67530;2,3;93,4;26723;8,2;439,9386235;377,12;2,56;38,346;95,58;2019,76;298,271505;261,39;0,10;2,81;1207,23;159851,94;5,44;221,09;63256,68;19,41;1041,39;892,69;6,06;90,77;226,25;4781,02;706,05;618,74
2010;5;3110,74;0,43;5,22;217,29;0,75;1,81;510;63047;2,3;94,68;26723;8,2;462,2351514;379,15;2,55;38,306;97,59;2173,08;297,8631052;256,31;0,32;2,88;1202,06;148601,09;5,42;223,16;62985,82;19,33;1089,48;893,65;6,01;90,29;230,02;5121,93;702,06;604,12
2010;6;3110,74;0,00;4,84;217,199;0,79;1,81;510;60936;2,3;96,19;26723;8,2;426,5505645;381,12;2,53;38,280;98,61;2228,83;297,3860093;249,06;0,79;2,88;1202,06;143625,48;5,42;226,72;62985,82;19,33;1005,37;898,30;5,96;90,23;232,42;5253,33;700,94;587,03
2010;7;3111,05;0,01;4,60;217,605;0,86;1,77;510;67515;2,3;98,12;26723;8,2;460,477168;383,14;2,53;38,221;99,29;2112,60;299,2432628;239,38;0,85;2,82;1201,94;159116,26;5,42;231,24;62979,54;19,33;1085,23;902,97;5,96;90,08;234,00;4978,88;705,24;564,16
2010;8;3112,29;0,04;4,49;217,923;0,89;1,76;510;65145;2,3;100;26723;8,71;422,8564498;385,52;2,54;38,014;100;2138,78;299,8524131;235,65;0,85;2,80;1201,47;153469,58;5,42;235,58;62954,45;20,52;996,17;908,21;5,98;89,55;235,58;5038,57;706,40;555,15
2010;9;3126,29;0,45;4,70;218,275;0,85;1,72;510;69430;2,3;101,93;26723;8,71;458,1457668;387,76;2,54;38,068;100,49;2187,08;302,3045966;241,08;0,40;2,73;1196,09;162831,78;5,39;239,05;62672,53;20,43;1074,47;909,40;5,96;89,28;235,68;5129,28;708,98;565,40
2010;10;3149,74;0,74;5,20;219,035;0,81;1,69;510;70673;2,3;103,95;26723;8,71;456,8307573;390,04;2,57;38,153;100,25;2250,66;302,6610547;253,79;0,07;2,67;1187,18;164512,95;5,35;241,98;62205,93;20,28;1063,41;907,94;5,98;88,81;233,36;5239,10;704,54;590,77
2010;11;3175,88;0,82;5,63;219,59;0,81;1,71;510;67705;2,3;106,33;26723;8,71;492,3656912;392,31;2,59;38,178;100,99;2344,28;302,8270425;264,61;-0,01;2,69;1177,41;156306,82;5,31;245,48;61693,92;20,11;1136,70;905,70;5,98;88,14;233,15;5412,11;699,12;610,89
2010;12;3195,89;0,63;5,91;220,472;0,93;1,69;510;69305;2,3;108,56;26723;8,71;495,1169195;394,58;2,6;38,169;102,32;2359,69;303,6771754;265,15;0,30;2,65;1170,04;158998,86;5,28;249,06;61307,65;19,98;1135,89;905,24;5,96;87,57;234,74;5413,58;696,69;608,30
2011;1;3222,42;0,82;5,99;221,187;0,86;1,67;540;66575;2,7;110,37;26723;8,71;429,1662499;396,91;2,61;38,160;104,36;2276,57;306,6251549;261,25;0,04;2,61;1228,66;151478,26;6,14;251,13;60802,91;19,82;976,48;903,09;5,94;86,83;237,45;5179,89;697,66;594,42
2011;2;3248,2;0,79;6,01;221,898;0,84;1,67;540;67383;2,7;112,55;26723;8,71;454,2230671;399,25;2,62;38,127;106,26;2292,76;305,8281386;261,18;0,05;2,60;1218,91;152099,87;6,09;254,05;60320,33;19,66;1025,29;901,20;5,91;86,06;239,85;5175,32;690,33;589,55
2011;3;3273,86;0,78;6,30;223,046;0,92;1,66;545;68587;2,7;114,85;26723;8,71;385,4397077;401,61;2,67;38,141;108,37;2360,61;306,7556796;267,58;0,14;2,57;1220,56;153604,16;6,05;257,21;59847,55;19,51;863,21;899,43;5,98;85,42;242,70;5286,71;687,00;599,26
2011;4;3299,07;0,76;6,51;224,093;0,84;1,59;545;66133;2,7;117,63;26723;8,71;403,1304105;403,98;2,82;38,293;110,39;2358,06;309,1584807;268,52;0,08;2,46;1211,23;146976,52;6,00;261,43;59390,22;19,36;895,93;897,82;6,27;85,10;245,33;5240,64;687,09;596,77
2011;5;3314,58;0,47;6,55;224,806;0,99;1,61;545;64620;2,7;120,71;26723;8,71;423,4553981;406,36;2,84;38,344;111,93;2438,70;313,9558667;272,98;0,52;2,49;1205,56;142941,96;5,97;267,02;59112,32;19,27;936,70;898,88;6,28;84,82;247,59;5394,50;694,48;603,84
2011;6;3319,55;0,15;6,71;224,806;0,96;1,59;545;62404;2,7;123,81;26723;8,71;434,9432124;408,76;2,74;38,407;113,35;2427,29;314,7419016;273,48;0,81;2,45;1203,76;137833,41;5,96;273,46;59023,81;19,24;960,67;902,84;6,05;84,83;250,36;5361,22;695,18;604,04
2011;7;3324,86;0,16;6,87;225,395;0,97;1,56;545;58823;2,7;126,58;26723;8,71;357,4912537;411,13;2,74;38,406;114,09;2459,18;314,8681597;263,38;0,81;2,41;1201,83;129716,46;5,95;279,13;58929,55;19,21;788,34;906,62;6,04;84,69;251,59;5422,98;694,35;580,81
2011;8;3337,16;0,37;7,23;226,106;1,07;1,6;545;56495;2,7;128,75;26723;9,5;390,1826419;414,17;2,74;38,397;115,16;2806,79;316,00787;266,75;0,70;2,47;1197,40;124123,57;5,93;282,87;58712,35;20,87;857,26;909,96;6,02;84,36;253,01;6166,72;694,29;586,07
2011;9;3354,85;0,53;7,31;226,597;0,94;1,75;545;52324;2,7;131,28;26723;9,5;453,4856287;416,7;2,74;38,677;115,44;3080,33;320,02913;267,19;0,41;2,69;1191,09;114353,41;5,90;286,91;58402,76;20,76;991,09;910,69;5,99;84,53;252,29;6732,02;699,42;583,94
2011;10;3369,28;0,43;6,97;226,75;0,88;1,77;545;58338;2,7;133,72;26723;9,5;477,3957247;419,24;2,75;38,891;115,91;2965,89;323,7915484;266,97;0,45;2,71;1185,99;126950,88;5,88;290,99;58152,63;20,67;1038,87;912,32;5,98;84,63;252,23;6454,15;704,61;580,96
2011;11;3386,8;0,52;6,64;227,169;0,86;1,79;545;56875;2,7;135,96;26723;9,5;506,3016776;421,8;2,75;38,908;116,25;3085,02;324,9649108;276,31;0,34;2,73;1179,85;123126,95;5,85;294,34;57851,81;20,57;1096,08;913,14;5,95;84,23;251,67;6678,67;703,51;598,18
2011;12;3403,73;0,50;6,50;227,223;0,91;1,84;545;56754;2,7;137,83;26723;9,5;494,366289;424,37;2,75;38,931;117,16;3002,98;331,1661953;277,27;0,41;2,80;1173,99;122253,88;5,82;296,90;57564,06;20,46;1064,92;914,14;5,92;83,86;252,37;6468,72;713,37;597,27
2012;1;3422,79;0,56;6,22;227,842;0,89;1,79;622;63072;3;139,51;26723;9,5;463,329541;426,92;2,74;38,954;118,21;2963,50;333,2314316;285,54;0,33;2,71;1332,39;135106,93;6,43;298,85;57243,51;20,35;992,50;914,51;5,87;83,44;253,22;6348,13;713,82;611,66
2012;2;3438,19;0,45;5,85;228,329;0,75;1,72;622;65812;3;141,34;26723;10,25;465,3076181;429,52;2,73;38,952;119,63;3000,48;332,9147626;276,54;0,30;2,60;1326,42;140344,85;6,40;301,41;56987,11;21,86;992,27;915,96;5,82;83,07;255,11;6398,56;709,94;589,72
2012;3;3445,41;0,21;5,24;228,807;0,82;1,8;622;64511;3;143,17;26723;10,25;402,355573;432,1;2,74;38,961;121,09;3000,25;332,0463334;273,25;0,61;2,72;1323,64;137282,17;6,38;304,67;56867,69;21,81;856,23;919,53;5,83;82,91;257,68;6384,66;706,61;581,49
2012;4;3467,46;0,64;5,10;229,187;0,71;1,85;622;61820;3;144,9;26723;10,25;397,3853527;434,69;2,74;39,044;122,45;3051,58;330,4974956;277,27;0,07;2,78;1315,23;130719,03;6,34;306,39;56506,06;21,67;840,28;919,16;5,79;82,56;258,92;6452,60;698,84;586,29
2012;5;3479,94;0,36;4,99;228,713;0,74;1,99;622;54490;3;146,63;26723;10,25;386,7466734;437,3;2,74;39,164;123,63;3135,87;333,0851497;283,69;0,38;2,98;1310,51;114806,46;6,32;308,94;56303,41;21,60;814,85;921,36;5,77;82,52;260,48;6607,05;701,79;597,71
2012;6;3482,72;0,08;4,92;228,524;0,64;2,05;622;54355;3;148,38;26723;10,25;401,505459;439,92;2,73;39,167;124,39;3273,90;332,5120078;287,63;0,56;3,06;1309,46;114430,61;6,32;312,38;56258,47;21,58;845,27;926,14;5,75;82,46;261,87;6892,36;700,02;605,53
2012;7;3497,7;0,43;5,20;228,59;0,68;2,03;622;56097;3;150,33;26723;10,25;407,2070881;442,69;2,73;39,185;125,32;3235,26;331,7842776;299,39;0,25;3,02;1303,85;117592,16;6,29;315,13;56017,53;21,49;853,60;927,98;5,72;82,14;262,70;6781,85;695,50;627,59
2012;8;3512,04;0,41;5,24;229,918;0,69;2,03;622;57061;3;152,43;26723;10,08;388,1878851;445,53;2,73;39,150;126,38;3309,52;332,1286263;306,02;0,28;3,02;1298,53;119124,53;6,26;318,22;55788,80;21,04;810,41;930,12;5,70;81,73;263,84;6909,19;693,37;638,87
2012;9;3532,06;0,57;5,28;231,015;0,54;2,03;622;59176;3;154,78;26723;10,08;413,3026159;448,47;2,72;39,355;127,75;3539,30;332,760718;309,08;-0,03;3,02;1291,17;122839,72;6,23;321,30;55472,59;20,92;857,95;930,95;5,65;81,69;265,19;7347,01;690,76;641,60
2012;10;3552,9;0,59;5,45;231,638;0,61;2,03;622;57068;3;156,5;26723;10,08;463,6416064;451,43;2,73;39,586;128,17;3546,63;334,9226462;311,55;0,02;3,01;1283,60;117768,99;6,19;322,96;55147,20;20,80;956,80;931,60;5,63;81,69;264,50;7319,04;691,17;642,93
2012;11;3574,22;0,60;5,53;231,249;0,55;2,07;622;57475;3;158,31;26723;10,08;545,6376362;454,36;2,75;39,948;128,72;3543,87;336,2536301;299,26;-0,05;3,05;1275,94;117901,40;6,15;324,75;54818,25;20,68;1119,29;932,05;5,64;81,95;264,05;7269,72;689,77;613,89
2012;12;3602,46;0,78;5,84;231,221;0,55;2,08;622;60952;3;159,58;26723;10,08;569,7467684;457,31;2,75;40,124;128,89;3510,04;338,7391712;304,9;-0,23;3,04;1265,94;124053,80;6,11;324,79;54388,53;20,52;1159,59;930,75;5,60;81,66;262,33;7143,88;689,43;620,55
2013;1;3633,44;0,85;6,15;231,679;0,6;2,03;678;59761;3;161,01;26723;10,08;476,6946904;460,29;2,763;40,164;130,34;3398,14;338,9970165;318,4;-0,25;2,95;1368,15;120592,73;6,05;324,90;53924,79;20,34;961,93;928,83;5,58;81,05;263,02;6857,16;684,07;642,50
2013;2;3655,24;0,60;6,31;232,937;0,49;1,97;678;57424;3;162,33;28059;11,25;455,9876741;463,28;2,887;40,414;131,18;3211,55;293,4886683;326,59;-0,11;2,86;1359,99;115185,77;6,02;325,61;56283,04;22,57;914,66;929,28;5,79;81,07;263,13;6441,99;588,70;655,10
2013;3;3672,42;0,47;6,59;232,282;0,55;1,98;678;56352;3;163,76;28059;11,25;454,9253033;466,29;2,886;40,513;131,97;3156,76;276,7566138;336,26;0,08;2,85;1353,63;112506,67;5,99;326,95;56019,74;22,46;908,26;930,95;5,76;80,88;263,48;6302,47;552,54;671,34
2013;4;3692,62;0,55;6,49;231,797;0,61;2;678;55910;3;165,57;28059;11,25;375,9569003;469,32;2,876;40,743;132,58;2980,14;276,8264461;344,3;0,06;2,86;1346,22;111013,59;5,96;328,75;55713,29;22,34;746,49;931,87;5,71;80,90;263,25;5917,30;549,66;683,63
2013;5;3706,28;0,37;6,50;231,893;0,6;2,03;678;53506;3;167,29;28059;11,25;412,4761729;472,37;2,862;40,899;133,07;2869,40;277,3871642;342,05;0,23;2,89;1341,26;105848,70;5,93;330,94;55507,96;22,26;815,98;934,47;5,66;80,91;263,25;5676,42;548,74;676,66
2013;6;3715,92;0,26;6,70;232,445;0,61;2,17;678;47457;3;169,08;28059;11,25;453,3833286;475,44;2,848;40,908;133,5;2913,42;276,7886206;340,46;0,35;3,09;1337,78;93638,66;5,92;333,62;55363,95;22,20;894,58;938,10;5,62;80,72;263,41;5748,55;546,14;671,77
2013;7;3717,03;0,03;6,27;232,9;0,72;2,25;678;48234;3;171,22;28059;11,25;496,122292;478,48;2,839;40,899;134,17;2889,50;276,4623727;327,44;0,69;3,21;1337,38;95143,36;5,92;337,74;55347,42;22,19;978,62;943,82;5,60;80,67;264,66;5699,65;545,33;645,89
2013;8;3725,95;0,24;6,09;233,456;0,71;2,34;678;50008;3;173,32;28059;12;476,0405551;482,98;2,835;40,975;134,73;3160,98;277,5474054;319,66;0,47;3,34;1334,18;98406,49;5,90;341,06;55214,92;23,61;936,76;950,42;5,58;80,63;265,12;6220,22;546,16;629,03
2013;9;3738,99;0,35;5,86;233,544;0,71;2,27;678;52338;3;175,37;28059;12;458,8478387;486,56;2,834;41,532;135,4;3065,84;279,1993011;312,07;0,36;3,23;1329,53;102632,31;5,88;343,89;55022,35;23,53;899,78;954,12;5,56;81,44;265,51;6011,97;547,50;611,95
2013;10;3760,3;0,57;5,84;233,669;0,81;2,19;678;54256;3;177,51;28059;12;497,229457;490,11;2,834;42,112;136,12;2888,92;280,1491859;321,14;0,24;3,10;1321,99;105790,47;5,85;346,12;54710,54;23,40;969,52;955,64;5,53;82,11;265,41;5632,93;546,25;626,17
2013;11;3780,61;0,54;5,77;234,1;0,72;2,3;678;52482;3;179,82;28059;12;446,872572;493,64;2,841;42,337;137,24;2920,18;282,1247491;325,56;0,18;3,24;1314,89;101781,72;5,82;348,74;54416,62;23,27;866,65;957,35;5,51;82,11;266,16;5663,29;547,14;631,38
2013;12;3815,39;0,91;5,91;234,719;0,79;2,35;678;51507;3;181,78;28059;12;489,9440088;497,24;2,946;42,444;138,58;2865,56;283,8045842;327,24;-0,12;3,29;1302,90;98980,26;5,77;349,32;53920,58;23,06;941,52;955,54;5,66;81,56;266,31;5506,71;545,38;628,85
2014;1;3836,37;0,55;5,59;235,288;0,85;2,38;724;47639;3;183,14;29462;12;453,2437026;500,82;2,956;42,484;139,13;2963,31;285,7489642;323,47;0,30;3,32;1383,69;91046,53;5,73;350,01;56307,08;22,93;866,23;957,16;5,65;81,19;265,90;5663,41;546,12;618,21
2014;2;3862,84;0,69;5,68;235,547;0,79;2,38;724;47094;3;184,27;29462;12,4;481,2867129;504,43;2,955;42,613;139,35;3106,75;285,948844;325,35;0,10;3,30;1374,21;89388,19;5,69;349,76;55921,24;23,54;913,52;957,45;5,61;80,88;264,50;5896,86;542,75;617,54
2014;3;3898,38;0,91;6,15;236,028;0,77;2,33;724;50415;3;185,57;29462;12,4;451,8721974;508,11;2,98;42,631;139,45;3115,69;285,7548978;351,46;-0,14;3,21;1361,68;94819,33;5,64;349,02;55411,43;23,32;849,87;955,64;5,60;80,18;262,27;5859,92;537,44;661,02
2014;4;3924,5;0,67;6,28;236,468;0,82;2,23;724;51626;3;186,97;29462;12,4;426,432121;511,82;2,988;42,672;139,75;2901,76;286,7322352;357,85;0,15;3,06;1352,62;96450,71;5,60;349,31;55042,63;23,17;796,69;956,21;5,58;79,72;261,09;5421,24;535,69;668,56
2014;5;3942,55;0,46;6,37;236,918;0,87;2,22;724;51239;3;188,3;29462;12,4;406,7821605;515,55;2,978;42,664;140,02;2863,02;296,7816183;366,54;0,41;3,04;1346,43;95289,43;5,58;350,18;54790,63;23,06;756,49;958,77;5,54;79,34;260,40;5324,37;551,93;681,66
2014;6;3958,32;0,40;6,52;237,231;0,82;2,24;724;53168;3;189,8;29462;12,4;407,3490382;519,32;2,966;42,692;140,25;2864,40;298,1391529;354,63;0,42;3,06;1341,06;98482,87;5,56;351,57;54572,34;22,97;754,53;961,93;5,49;79,08;259,78;5305,72;552,24;656,88
2014;7;3958,72;0,01;6,50;237,498;0,95;2,22;724;55829;3;191,24;29462;12,4;424,4896238;523,11;2,957;42,657;140,52;2911,53;302,6452684;345,42;0,94;3,03;1340,93;103401,38;5,56;354,20;54566,83;22,97;786,20;968,86;5,48;79,01;260,26;5392,47;560,53;639,76
2014;8;3968,62;0,25;6,51;237,46;0,87;2,27;724;61288;3;192,59;29462;13;443,0429789;527,82;2,96;42,638;140,74;2939,11;311,5873962;337,8;0,62;3,09;1337,58;113228,88;5,54;355,81;54430,71;24,02;818,52;975,14;5,47;78,77;260,02;5429,97;575,65;624,08
2014;9;3991,24;0,57;6,75;237,477;0,91;2,33;724;54116;3;193,36;29462;13;413,3950613;531,88;2,963;43,700;140,33;2877,75;320,9685358;333,12;0,34;3,16;1330,00;99412,07;5,51;355,21;54122,23;23,88;759,41;977,07;5,44;80,28;257,79;5286,48;589,62;611,95
2014;10;4008;0,42;6,59;237,43;0,95;2,45;724;54629;3;193,94;29462;13;434,0274973;535,98;2,96;44,432;140,22;2995,61;326,4117943;341,04;0,53;3,30;1324,44;99934,81;5,49;354,78;53895,91;23,78;793,98;980,49;5,41;81,28;256,51;5479,98;597,12;623,88
2014;11;4028,44;0,51;6,56;236,983;0,84;2,55;724;54664;3;194,45;29462;13;449,2575462;540,1;3,009;44,596;140,19;2992,82;330,5880987;347,96;0,33;3,41;1317,72;99491,45;5,46;353,91;53622,44;23,66;817,67;983,01;5,48;81,17;255,15;5447,10;601,69;633,31
2014;12;4059,86;0,77;6,41;236,252;0,96;2,64;724;50007;3;195,11;29462;13;436,6993753;544,26;3,031;44,701;140,89;3160,87;334,666908;354,19;0,18;3,50;1307,52;90311,08;5,42;352,36;53207,45;23,48;788,67;982,92;5,47;80,73;254,44;5708,43;604,40;639,66
2015;1;4110,2;1,22;7,14;234,747;0,94;2,63;788;46908;3,5;196;33763;13;405,7650369;548,45;3,032;44,673;141,37;3293,90;347,9570358;371,22;-0,28;3,42;1405,67;83676,83;6,24;349,63;60228,13;23,19;723,82;978,35;5,41;79,69;252,18;5875,82;620,70;662,20
2015;2;4160,34;1,21;7,70;235,342;0,82;2,82;788;51583;3,5;197,09;33763;13,5;367,8931506;552,68;3,301;44,892;142,26;3441,29;355,9883119;378,86;-0,38;3,63;1388,73;90907,36;6,17;347,34;59502,26;23,79;648,36;974,02;5,82;79,12;250,71;6064,76;627,38;667,68
2015;3;4215,26;1,30;8,13;235,976;1,04;3,14;788;51150;3,5;198,13;33763;13,5;340,4763622;556,93;3,323;45,228;142,54;3668,65;394,6198946;379,35;-0,26;4,00;1370,64;88969,79;6,09;344,63;58727,02;23,48;592,22;968,72;5,78;78,67;247,93;6381,21;686,40;659,84
2015;4;4245,19;0,71;8,17;236,222;0,95;3,04;788;56229;3,5;198,87;33763;13,5;324,4948005;561,22;3,308;45,765;142,65;3666,29;437,4087115;387,05;0,24;3,85;1360,98;97114,59;6,04;343,47;58312,97;23,32;560,44;969,30;5,71;79,04;246,37;6332,15;755,46;668,48
2015;5;4276,6;0,73;8,47;237,001;0,99;3,06;788;52760;3,5;199,21;33763;13,5;362,8553181;565,54;3,299;45,950;141,97;3657,95;443,6077554;402,05;0,25;3,86;1350,98;90453,93;6,00;341,53;57884,68;23,14;622,09;969,59;5,66;78,78;243,40;6271,34;760,54;689,29
2015;6;4310,39;0,78;8,89;237,657;1,07;3,11;788;53081;3,5;199,4;33763;13,5;391,6753912;569,9;3,301;45,920;141,07;3680,97;446,1690742;392,77;0,28;3,90;1340,39;90290,86;5,95;339,18;57430,91;22,96;666,24;969,40;5,62;78,11;239,96;6261,34;758,93;668,10
2015;7;4337,11;0,62;9,56;238,034;1,18;3,22;788;50865;3,5;199,6;33763;13,5;429,1265489;578,96;3,296;45,959;139,99;3627,18;451,6982061;395,83;0,56;4,02;1332,13;85988,40;5,92;337,43;57077,10;22,82;725,45;978,74;5,57;77,69;236,66;6131,83;763,61;669,16
2015;8;4346,65;0,22;9,53;238,033;1,11;3,51;788;46626;3,5;199,74;33763;13,5;429,4560416;585,21;3,295;46,015;139,15;3915,29;451,361026;386,04;0,89;4,37;1329,21;78649,28;5,90;336,92;56951,82;22,77;724,41;987,14;5,56;77,62;234,72;6604,36;761,36;651,18
2015;9;4370,12;0,54;9,49;237,498;1,11;3,91;788;45059;3,5;199,89;33763;13,5;446,8239064;591,41;3,277;52,918;138,12;4376,40;451,6532641;383,21;0,57;4,84;1322,07;75597,85;5,87;335,37;56645,96;22,65;749,66;992,24;5,50;88,78;231,73;7342,52;757,76;642,93
2015;10;4405,95;0,81;9,93;237,733;1,11;3,88;788;45869;3,5;199,97;33763;13,5;451,4938339;597,68;3,48;53,867;137,4;4504,34;453,4643961;382,13;0,29;4,77;1311,32;76331,00;5,82;332,77;56185,30;22,47;751,33;994,60;5,79;89,64;228,65;7495,71;754,61;635,91
2015;11;4450,45;1,00;10,48;238,017;1,06;3,78;788;45120;3,5;199,81;33763;13,5;416,6915127;604,02;3,576;54,205;136,35;4112,00;459,6955075;399,21;0,06;4,60;1298,21;74333,82;5,77;329,18;55623,51;22,24;686,49;995,10;5,89;89,30;224,63;6774,39;757,33;657,69
2015;12;4493,17;0,95;10,67;237,761;1,16;3,87;788;43350;3,5;200;33763;13,5;423,9967295;610,42;3,633;54,071;135,68;4161,69;463,5594189;412,12;0,21;4,66;1285,86;70738,77;5,71;326,36;55094,65;22,03;691,88;996,09;5,93;88,23;221,40;6791,07;756,44;672,50
2016;1;4550,23;1,25;10,71;237,827;1,06;4,05;880;40406;3,8;200,04;33763;13,5;380,9247972;616,89;3,676;53,947;135;4441,84;466,9466748;448,31;-0,19;4,82;1417,98;65107,91;6,12;322,33;54403,76;21,75;613,80;994,02;5,92;86,93;217,53;7157,33;752,41;722,38
2016;2;4591,18;0,89;10,36;237,514;1;3,97;880;42794;3,8;200,24;33763;13,5;381,115279;623,43;3,71;53,941;134,94;4760,23;466,2413508;443,4;0,11;4,67;1405,33;68340,76;6,07;319,78;53918,52;21,56;608,63;995,60;5,92;86,14;215,50;7601,95;744,57;708,10
2016;3;4610,92;0,43;9,39;237,99;1,16;3,7;880;50055;3,8;200,27;33763;13,5;368,689088;630,04;3,73;53,871;135,09;4639,96;458,9613816;444,11;0,73;4,35;1399,32;79594,15;6,04;318,46;53687,69;21,47;586,27;1001,85;5,93;85,66;214,81;7378,16;729,81;706,19
2016;4;4639,05;0,61;9,28;238,835;1,06;3,57;880;53911;3,8;200,39;33763;13,5;351,3095526;636,72;3,717;53,679;135,36;4434,43;453,9984303;442,42;0,45;4,18;1390,83;85205,89;6,01;316,71;53362,14;21,34;555,24;1006,33;5,87;84,84;213,94;7008,58;717,54;699,24
2016;5;4675,23;0,77;9,32;239,44;1,11;3,54;880;48472;3,8;200,64;33763;13,5;344,3178249;643,47;3,674;53,384;135,04;4451,26;455,6668364;449,7;0,33;4,13;1380,07;76016,74;5,96;314,66;52949,19;21,17;539,98;1009,13;5,76;83,72;211,78;6980,74;714,60;705,25
2016;6;4691,59;0,35;8,84;240,144;1,16;3,42;880;51527;3,8;200,56;33763;13,5;365,0095032;650,29;3,646;53,122;134,52;4404,66;456,0808454;469,02;0,81;3,98;1375,26;80525,99;5,94;313,43;52764,55;21,10;570,43;1016,27;5,70;83,02;210,23;6883,57;712,76;732,98
2016;7;4715,99;0,52;8,74;240,111;1,11;3,28;880;57308;3,8;200,46;33763;13,5;383,6857102;657,31;3,638;52,878;134,05;4378,62;451,8534057;475,27;0,59;3,80;1368,14;89097,12;5,91;311,66;52491,55;20,99;596,52;1021,92;5,66;82,21;208,41;6807,47;702,50;738,91
